,name,guiname,slider,description,flags,introduce,cancel,raise,lower,department,mincost,maxcost,cost multiplier,implementation,minincome,maxincome,incomemultiplier,,,,,,,,,,,,
#,AdultEducationSubsidies,Adult Education Subsidies,default,Adult education subsidies are a way to encourage people to re-train and continue their education after they have joined the workforce. This includes evening classes and distance learning resources. These schemes help to raise the overall educational level of the workforce.,,12,18,7,7,PUBLICSERVICES,160,300,,2,0,0,,#Effects,"Education,0.04+(0.04*x),4","WorkerProductivity,0.02+(0.02*x),4",,,,,,,,,
#,AgricultureSubsidies,Agriculture Subsidies,default,"For strategic reasons some governments are happy to pay subsidies to farmers to ensure the security of the nation's food supply. This goes against free market economics and can also be very expensive, but it does safeguard jobs (and votes) in agricultural communities.",,15,24,10,10,ECONOMY,120,2800,,4,0,0,,#Effects,"Capitalist,0.00-(0.08*x)","Unemployment,0.00-(0.17*x)","Farmers,0.10+(0.50*x)","Farmers_freq,0.02+(0.18*x),4","Farmers_income,0+(0.35*x)","Health,0-(0.04*x),4",,,,,
#,AirlineTax,Airline Tax,tax,Airline fuel has generally not been subject to taxation. Supporters of air fuel taxes insist that this results in an unfair subsidy on an environmentally destructive form of transport. The airlines point out that taxing airline fuel will just encourage them to refuel elsewhere thereby diverting funds from our economy.,,28,15,13,7,TAX,0,0,,1,115,7015,"AirTravel,0+(1.0*x)",#Effects,"Capitalist,0.00-(0.06*x)","Environmentalist,0.05+(0.10*x)","GDP,0.00-(0.05*x),2","AirTravel,0-(0.3*x),4","_MiddleIncome,0-(0.02*x)",,,,,,
#,AlcoholLaw,Alcohol Law,alcohollaw,"There is ample evidence that excessive consumption of alcohol can lead to health problems and even premature death. However, some people object to the state interfering in an individual's right to choose what he/she drinks. There is also the complication that the government can make a lot of money by taxing alcohol.",UNCANCELLABLE,21,12,13,9,LAWANDORDER,0,0,,1,0,0,,#Effects,"Liberal,0.20-(0.40*x)","AlcoholConsumption,0.5-(1.0*x),4",,"ViolentCrimeRate,0.05-(0.11*x)","Young,-0.2*(x^2)",,,,,,
#,AlcoholTax,Alcohol Tax,tax,"Medically there is a clear case for the government to tax alcohol in order to discourage consumption because of its negative effects on health and its possible links to social breakdown. On the other hand, those who drink socially see the government benefiting from such a tax to be hypocritical.",,30,9,9,4,TAX,0,0,,1,0,8050,"AlcoholConsumption,0+(1.0*x)",#Effects,"Poor,0-(0.2*x)","PovertyRate,0+(0.2*x)","Equality,0-(0.1*x)","AlcoholConsumption,0-(0.4*x),2",,,,,,,
#,ArmedPolice,Armed Police,armedpolice,Arming police officers can be an effective strategy in deterring crime and maintaining order. Opponents would argue that it encourages criminals to use firearms in a 'criminal arms race'. Critics also worry that arming the police will distance them from law-abiding citizens.,,50,48,10,19,LAWANDORDER,300,960,,3,0,0,,#Effects,"Liberal,-0.05-(0.25*x)","CrimeRate,-0.10-(0.10*x)","ViolentCrimeRate,0.00-(0.20*x)",,"_security_,(0.025+0.035*x)",,,,,,
#,BanSundayShopping,Ban Sunday Shopping,default,The Christian religion generally recognizes the 'Sabbath' as a 'day of rest' and many religious people believe that there should be no shopping carried out on that day. Some trade unions also believe that an enforced day of rest prevents its members being exploited.,,36,21,15,10,ECONOMY,0,0,,1,0,0,,#Effects,"Religious,0.12+(0*x)","Liberal,-0.08+(0*x)","GDP,-0.02+(0*x)","TradeUnionist,0.06+(0*x)",,,,,,,
#,BiofuelSubsidies,Biofuel Subsidies,default,"Biofuels can reduce oil demand, by mixing ethanol derived from corn with petro-chemical fuel. This is generally popular with environmentalists. Farmers who earn money producing corn for biofuel use also benefit. Biofuels with a higher mix of ethanol can be subsidized through tax breaks.",,10,16,7,8,TRANSPORT,5,700,"CarUsage,0+(1.0*x)",2,0,0,,#Effects,"OilDemand,0-(0.12*x),8","Environmentalist,0.02+(0.06*x)","Farmers,0.05+(0.10*x),4","Motorist,0.02+(0.02*x)","Farmers_freq,0.02+(0.05*x),4","Farmers_income,0+(0.09*x)",,,,,
#,BorderControls,Border Controls,bordercontrols,"Without some kind of customs checks at the borders, your country is open to the problem of mass illegal immigration. Some people argue that these immigrants cause crime, others that they take jobs away from your own citizens. Border controls can be effective in reducing illegal immigration.",UNCANCELLABLE,25,25,18,13,FOREIGNPOLICY,10,280,,1,0,0,,#Effects,"Patriot,0+(0.30*x)","Liberal,0-(0.225*x)","Immigration,0-(0.8*x),2","_Terrorism,0-(0.1*x)","EthnicMinorities,0.00-(0.42*x)",,,,,,
#,BusLanes,Bus Lanes,default,"Setting aside specific lanes of a road for use only by buses (and perhaps taxis and motorbikes) is one way to get traffic flowing faster and avoid congestion. It also shortens journey times for public transport and therefore encourages usage. There are noticeable costs involved in setting up such schemes, and motorists can be annoyed if the bus lanes seem empty while they remain stuck in traffic.",,10,10,7,4,TRANSPORT,100,220,,2,0,0,,#Effects,"Commuter,0.05+(0.17*x)","Motorist,0.00-(0.25*x)","BusUsage,0.05+(0.2*x),2",,,,,,,,
