,,,,zone,def,min,max,emotion,icon,,,,,,,,,,,,,,
#,Health,Health,"A general indicator for the health of your citizens that measures not just raw lifespan, but also fitness and the general wellbeing of people.",PUBLICSERVICES,0.5,0,1,HIGHGOOD,icons_health.dds,#,#,"Retired_freq,-0.2+(0.4*x),8","WorkerProductivity,-0.15+(0.15*x)","Immigration,0.1*(x^6)",,,,,,,,,
#,Education,Education,"A measurement of the education level of the average citizen. Not only literacy, but numeracy and general understanding of everything from history to IT and science.",PUBLICSERVICES,0.18,0,1,HIGHGOOD,icons_education.dds,#,#,"WorkerProductivity,-0.2+(x*0.4)","RacialTension,0-(0.08*x)","CrimeRate,-0.12*(x^6)","ViolentCrimeRate,-0.12*(x^4)",,,,,,,,
#,CrimeRate,Crime,"An indicator of the level of general non violent crime in your nation. This includes crimes such as car crime, burglary etc., but also covers fraud and other similar crimes.",LAWANDORDER,0.55,0,1,HIGHBAD,icons_crimerate.dds,#,#,"_All_,0-(0.13*x)","GDP,0-(0.08*x)",,,,,,,,,,
#,ViolentCrimeRate,Violent Crime,"A more worrying indicator than the overall crime level, this measures the frequency of violent crimes such as murder, rape and muggings. Violent crime is a worry for everyone in the country.",LAWANDORDER,0.57,0,1,HIGHBAD,icons_violentcrimerate.dds,#,#,"_All_,0-(0.16*x)","Retired,0-(0.18*x)","_global_liberalism,0.05-(0.1*x)",,,,,,,,,
#,PovertyRate,Poverty,"One of the most widely used measures of comparison between nations. The poverty level is periodically reassessed, but all nations should strive to get their poverty rate as low as possible.",WELFARE,0.64,0,1,HIGHBAD,icons_povertyrate.dds,#,#,"Poor,0.3-(x^2)","CrimeRate,0.3*(x^2),4","RacialTension,0+(0.22*x),2","_global_socialism,0.2*(x^5)","Socialist,-0.35*(x^2)",,,,,,,
#,Equality,Equality,"There are many ways to measure equality. Conservatives talk of equality of opportunity, socialists talk of equality of outcome. This is just a simple measurement of the distribution of wealth (financial equality of outcome).",WELFARE,0.4,0,1,HIGHGOOD,icons_equality.dds,#,#,"Socialist,-0.2+(0.4*x)","CrimeRate,0.1-(x*-0.22)",,,,,,,,,,
#,Environment,The Environment,"A general measurement of the quality of the environment, including air quality, but also measuring noise pollution, litter, water quality and many other measures of pollution.",PUBLICSERVICES,0.5,0,1,HIGHGOOD,icons_environment.dds,#,#,"Environmentalist,-0.4+(0.8*x)",,,,,,,,,,,
#,WorkingWeek,Working Week,"The number of hours worked on average by your citizens in a week. In a fluctuating economy, this may vary from the contracted hours as people give into pressure to work unpaid or paid overtime to keep their jobs. To employees, shorter hours are seen as a good thing.",ECONOMY,0.5,0,1,UNKNOWN,icons_workingweek.dds,#,#,"TradeUnionist,0.1-(0.1*x)","Health,-0.24*(x^8)",,,,,,,,,,
#,Technology,Technology,"A general index of the level of technological sophistication of the country, including the percentage of citizens with internet access, and high speed broadband, as well as the technological understanding of students, and the capabilities of industry. A high technological index boosts international competitiveness. Tax incentives may be required to attract high tech industry. ",ECONOMY,0.5,0,1,HIGHGOOD,icons_Technology.dds,#,#,"WorkerProductivity,0.15*(x^4)","Education,-0.1+(0.16*x)","Unemployment,0.2*(x^8),2","Retired_freq,0.10*(x^4),16",,,,,,,,
#,CarUsage,Car Usage,"A measure of how many miles per year the average household travels by car. High car usage can cause pollution, but is inevitable in a booming economy with poor provision of public transport.",TRANSPORT,0.6,0,1,UNKNOWN,icons_carusage.dds,#,"GDP,0+(0.4 * x)",#,"Environment,0-(0.22*x)","Motorist_freq,-0.4+(0.8*x)","CO2Emissions,0+(0.5*x)","OilDemand,0+(0.3*x)",,,,,,,
