,,,,,,,,positive,start trigger,stop trigger,,,,,,,,,,,,,,,,
#,SkillsShortage,Skills Shortage,Businesses tell us that they simply can not find enough skilled and trained people to employ. The modern economy is increasingly skills-based and our citizens just aren't educated enough to take their place in the modern workforce. This is going to have a negative impact on the economy.,ECONOMY,sit_icons_skillsshortage.dds,Business leaders have complained that we simply do not have enough highly skilled workers to fill job vacancies.,Business leaders inform you that there is no longer a noticeable skills shortage in the economy. Our citizens are now sufficiently educated and trained to provide for the economies needs.,0,0.6,0.4,0,0,"_default_,0.75","Education,0-(0.4*x)","AdultEducationSubsidies,0-(0.2*x),8","UniversityGrants,0-(0.2*x)","Immigration,0-(0.2*x)","Technology,0.25*(x^2)",#,"GDP,-0.14-(0.15*x)",,,,,,
#,Pollution,Pollution,"Without enough measures in place to regulate what gets pumped into the air, we have ended up with high levels of pollution. This affects our health levels and quality of life. Not surprisingly environmentalists are especially upset.",ECONOMY,sit_icons_pollution.dds,We have a serious pollution problem. This could lead to health problems.,"Environmental experts tell us that the country's pollution problem is now under control, our citizens no longer need to wear facemasks when cycling to work!",0,0.6,0.4,500,0,"Environment,1.0-(1.0*x)",#,"Environmentalist,-0.1-(0.3*x)","Health,-0.1-(0.2*x)","Environmentalist_freq,0.1+(0.1*x)",,,,,,,,,
#,Uncompetitive Economy,Uncompetitive Economy,"Our workers lack of relative productivity and competitiveness is causing our exports to fall and flooding our country with cheap imports made overseas, with lower wages, harder working and more technologically savvy employees. This is having a negative effect on our economy, as our local companies cannot compete globally.",ECONOMY,sit_icons_uncompetitiveeconomy.dds,Economic advisors are concerned by the lack of competitiveness of our companies in global markets.,The earlier problems of a lack of competitiveness by our companies has now subsided.,0,0.6,0.4,0,0,"_default_,0.8","CorporationTax,0+(0.3*x)","WorkerProductivity,0-(0.7*x)","ImportTarrifs,-0.1-(0.3*x)",#,"GDP,-0.06-(0.1*x)","Capitalist,-0.04-(0.06*x)",, ,,,,,
#,TechnologicalAdvantage,Technological Advantage,It looks like our country is leading the world in a number of major areas of science and technology. This is great news for our economy as it means we have a major advantage over our competitors.,ECONOMY,sit_icons_technologicaladvantage.dds,Technology experts inform you that this country has a significant technological advantage over its less tech-savvy competitors.,"Recent reports show that our country has lost its technological 'edge', and we are now outclassed in technological terms by other countries. This is likely to cause a negative effect on our GDP.",1,0.6,0.4,0,0,"_default_,0","TaxShelters,0.04+(0.2*x),5","Technology,0+(0.7*x)","Creationism,0+(0.1*x)","SpaceProgram,0+(0.13*x)",#,"GDP,0.015+(0.02*x),4",,"WorkerProductivity,0.1+(0.05*x)","TechnologyBackwater,-1.0-(0*x)",,,,
#,HighProductivity,High Productivity,"Our workforce are extremely productive, producing a higher amount of practically everything in comparison with our competitors. This is great news for the future of our economy.",ECONOMY,sit_icons_highproductivity.dds,Business pundits report that our companies are highly efficient and productive in comparison with competing nations.,"Our workers' productivity has fallen and sadly, we are no longer considered to be a nation with especially high productivity. Global corporations may rethink setting up factories here, and this will adversely affect our economy.",1,0.6,0.4,0,0,"WorkerProductivity,0.95*(x^2)",#,"GDP,0.04+(0.03*x)","SelfEmployed,0+(0.1*x)","Capitalist,0+(0.1*x)","SelfEmployed_income,0+(0.08*x)",,,,,,,,
#,StreetGangs,Street Gangs,"Street gangs are an ever more common sight on the streets of our cities. Although not all street gangs are involved in violence, some are, and there must be something that our teenage citizens could be doing rather than loitering on street corners?",LAWANDORDER,sit_icons_streetgangs.dds,"Police chiefs report a significant new problem in terms of street gangs, often related to violent crime.","At a recent press conference, our Chief of Police was happy to report that the earlier problem of 'street gangs' is now under control, which means less crime, and happier citizens.",0,0.6,0.4,500,0,"ArmedPolice,-0.1-(0.3*x)","CCTVCameras,-0.05-(0.05*x)","CommunityPolicing,-0.05-(0.1*x),4","PovertyRate,0+(0.78*x)","Unemployment,0.1+(0.5*x)","PoliceForce,-0.05-(0.17*x)","PoliceDrones,-0.1-(0.1*x)",#,"CrimeRate,0.12+(0.1*x)","Conservatives,-0.1-(0.1*x)","Retired,-0.1-(0.2*x)","_global_liberalism,-0.06-(0.03*x)","_All_,-0.05-(0.05*x)",
#,AntisocialBehaviour,Antisocial Behavior,"Vandalism, public nuisance, petty street crime, these are all the results of an antisocial 'loutish' behavior that has become commonplace on our streets. Often linked to consumption of alcohol, and not helped by insufficient levels of police on the streets, Antisocial behavior causes stress for many of our citizens.",LAWANDORDER,sit_icons_antisocialbehaviour.dds,Police chiefs and community leaders have reported a widespread problem of antisocial behavior. ,Crime statisticians are pleased to report that the extent of antisocial behavior in our nation has fallen considerably and it is no longer a major cause of crime.,0,0.6,0.4,45,0,"_default_,0.8+(0*x)","CCTVCameras,0-(0.3*x)","PoliceForce,0-(0.6*x)","CommunityPolicing,-0.1-(0.25*x),4","AlcoholConsumption,0+(0.2*x)","Religious_freq,0.1-(0.2*x)",#,"CrimeRate,0.1+(0.1*x)","Conservatives,-0.1-(0.4*x)",,"_global_liberalism,-0.06-(0.03*x)",,,
#,GeneralStrike,General Strike,"Widespread dissatisfaction with the government has led to trade unions calling a general strike. Although not everyone in the country is withholding their labor, a number of key industries are crippled by this strike which will be disastrous both economically and politically.",ECONOMY,sit_icons_generalstrike.dds,"A general strike has been called, with tens of thousands of our citizens walking out of their jobs to protest against the government. This could cripple our economy.","Thankfully the general strike has been called off and our citizens are returning to work, this is great news for the economy!",0,0.6,0.4,1000,0,"_LowIncome,0.3-(0.6*x)","LabourLaws,0-(0.3*x)","PovertyRate,-0.2+(0.7*x)","Unemployment,0-(x^7)",#,"GDP,-0.3-(0.2*x)","Conservatives,-0.2-(0.3*x)",,,,,,,
#,TechnologyBackwater,Technology Backwater,"Our industry is based too much on old technology, and this is hurting our competitiveness abroad, and therefore affecting the countries GDP and wealth. We need to make some serious investment in technology and hi-tech skills if we are to lift our economy up to match our competitors.",ECONOMY,sit_icons_technologybackwater.dds,Our economy is outdated in terms of technology which is having a bad effect on our competitiveness.,"Great news! The center for technology and business has announced that our nation is no longer perceived as being 'backwards' in technological terms. This will be welcome news for the economy, as it opens up opportunities for technology investment.",0,0.6,0.4,0,0,"_default_,1.0","TaxShelters,0-(0.12*x),2","Technology,0-(0.7*x)","ScienceFunding,0-(0.34*x),16","StemCells,0-(0.12*x),12","Creationism,0.22-(0.22*x),12","SpaceProgram,0-(0.13*x)",#,"GDP,-0.02-(0.12*x)",,,,,
#,InnerCityRiots,Inner City Riots,"The citizens have taken to the street to voice their concerns. There are violent protests and riots taking place all over the country. The policing cost in the short term is extremely high, but in the medium term this is a sign that your government has become highly unpopular with certain groups.",LAWANDORDER,sit_icons_innercityriots.dds,Riots have broken out in our inner cities. Something needs to be done to get the situation under control before our cities collapse into anarchy!,The riots in our inner cities have been bought under control by the police. Our citizens can live free of the worries of violence and looting in their communities!,0,0.6,0.4,2000,0,"ArmedPolice,-0.3-(0.6*x)","CCTVCameras,-0.1(-0.6*x)","PovertyRate,0+(1.0*x)","CrimeRate,0+(0.15*x)","Unemployment,0+(0.25*x)",#,"Conservatives,-0.2-(0.3*x)","CrimeRate,0.04+(0.04*x),2",,,,,,
